dtime|title|content|location|source|lastmod
2013/03/09|Instructor Class|Lunch: $5|911 Bryan Rd, Brandon, FL|Branch Events|2013/03/05
2013/03/13|International Instructor Workshop|Cost: $600 wk, $175 weekend|Tallahassee, FL|TTCS USA - Workshop Schedule|2013/01/05
2013/03/16|Chinese New Year's Banquet||Tallahassee, FL|TTCS USA - Workshop Schedule|2013/01/05
2013/03/23|Tai Chi Intensive at St Pete||1811 Dr. MLK Jr. (9th)Street North  St. Petersburg, FL 33704|Tampa Bay Area Events|2013/03/05
2013/03/24|Sip & Savor at Sarasota|Fine wines, gourmet chocolates and cheeses, and witty repartee are promised.|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2013/03/05
2013/03/29|Breakfast!||911 S. Bryan Rd. Brandon, FL 33511|Branch Events|2013/03/05
2013/04/06|Road Cleanup|||Branch Events|2013/03/05
2013/04/06|Beginner Instructor Module|$25|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2013/03/05
2013/04/14|Tai Chi In The Park||Lettuce Lake Park|Branch Events|2013/04/12
2013/04/20|Road Cleanup|||Branch Events|2013/04/12
2013/05/04|Open House at Temple Terrace|<a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-05-04-openhouse.pdf">Download the flyer!</a>|10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2013/04/13
2013/05/04|Open House at Brandon|<a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-05-04-openhouse.pdf">Download the flyer!</a>|911 Bryan Rd, Brandon, FL 33511|Branch Events|2013/04/13
2013/05/05|Tai Chi Intensive|On Sunday, May 5, Sarasota will be hosting a tai chi intensive from 9 am to noon.  This will be led by Sean Dennison and Karen Laughlin, so there will be no class or chanting in Brandon that morning.  Instructors and set leaders are expected to attend, whenever possible, a local intensive led by an international instructor and we’ve been told protocol is to cancel classes so this can occur.  The branch will hold their Branch Annual Meeting immediately after, then will begin to set up for the Mother’s Day banquet from 1 to 4 pm.  RSVP for the banquet by April 22.  The intensive is $25 and the banquet tickets are $25 each.|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2013/04/14
2013/05/05|Mother's Day Banquet|Tickets: $25|Sarasota, FL|Tampa Bay Area Events|2013/04/12
2013/05/25|International Tai Chi Workshop - Brandon|The big event for Brandon this year will be the <a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-05-25-international-workshop.pdf">International Tai Chi Workshop</a> on May 25 and 26.  This is the weekend before Memorial Day, so we hope to have another good turnout.  The workshop will be led by Jim Nicholson from Vancouver.  Jim is on the Fung Loy Kok Institute of Taoism Board of Directors and is a student of the templearts that Mr. Moy has shared with us.  You’ll find that the many jobs and committees for the workshop are listed on posters attached to the mirrors at the center.  The Branch Council hopes that many of you will not only be able to attend the workshop, but will be compelled to help out at the various tasks.  The cooking crew is in place already and various tasks involved with carrying out the meals during the workshop will be assigned to all of those attending and not just Brandon/Temple Terrace/Sun City/Wesley Chapel/Palma Ceia members.  We will need volunteers to help with airport pick-ups and drop-offs—the more people involved, the less each has to do.  We are also looking for hosts for people requesting billeting during the workshop. Sign- up sheets are on the card table in front of the mirrors in Brandon and should be available in Temple Terrace as well.  Just list your preferences on the forms.  Billeting is an excellent way to meet members from other centers around the country and possibly, from around the world.  Often, this leads to your guest(s)  hosting you when you are in their area.  Keep an open mind! Cost: $175 <a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-05-25-international-workshop.pdf">Download the flyer</a> or the<a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-workshop-welcome-package.pdf">informational packet</a>.|911 S. Bryan Rd. Brandon, FL 33511|Tampa Bay Area Events|2013/04/14
2013/08/23|Monthly Breakfast|$5. Signup sheet is at the center!||Branch Events|2013/08/20
2013/08/24|Instructor Intensive Luncheon|$10.  Signup sheet is at the center!|911 Bryan Road, Brandon FL 33511|Tampa Bay Area Events|2013/08/20
2013/08/24|Instructor Intensive|$25, + $10 for lunch at 12:30. Signup sheet is at the center!|911 Bryan Road, Brandon FL 33511|Tampa Bay Area Events|2013/08/20
2013/09/07|Open House - Brandon||911 Bryan Road, Brandon, FL 33511|Branch Events|2013/08/13
2013/09/07|Open House - Temple Terrace||10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2013/08/13
2013/09/27|Tai Chi Breakfast||911 Bryan Rd, Brandon FL 33511|Branch Events|2013/09/09
2013/09/28|Road Cleanup||Brandon Hospital|Branch Events|2013/09/09
2013/10/12|Tai Chi Workshop and Southeast Region Meeting|Cost $175|St. Petersburg, FL|Tampa Bay Area Events|2013/01/05
2013/11/06|International Workshop and CIT Weekend|Cost: $175|Tallahassee, FL|TTCS USA - Workshop Schedule|2013/09/09
2013/11/09|TTCS USA Annual Meeting|||TTCS USA - Workshop Schedule|2013/01/05
2013/11/09|CIT Weekend|Cost $100|Tallahassee, FL|TTCS USA - Workshop Schedule|2013/01/05
2013/11/16|Branch Council Meeting||911 Bryan Rd, Brandon, FL|Branch Events|2013/11/10
2013/11/23|Road Cleanup|||Branch Events|2013/11/10
2013/12/07|Tai Chi Workshop|Cost: $175|Sarasota, FL|Tampa Bay Area Events|2013/01/05
2013/12/13|Holiday Party - Potluck!|Cost: $10||Branch Events|2013/11/10
2013/12/14|Branch Council Meeting|||Branch Events|2013/12/11
2013/12/15|Mah Jongg|||Branch Events|2013/12/11
2013/12/27|Tai Chi Demo at Botanical Gardens||Florida Botanical Gardens, 12520 Ulmerton Rd, Largo, FL 33774,United States|Branch Events|2013/12/11
2014/01/11|Open House - Temple Terrace||10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2013/12/11
2014/01/11|Open House - Brandon||911 Bryan Rd, Brandon, FL, United States|Branch Events|2013/12/11
2014/01/18|Tai Chi Workshop|Suggested donation for this fundraiser is $200 and $30 if you wish to share meals with the group.|Dunedin|Tampa Bay Area Events|2013/12/11
